transaction_id,customer_id,timestamp,product_id,product_name,category,quantity,price
T00000001,C000229,2024-02-02 13:50:18,P024,Toothpaste,Personal Care,2,60.31
T00000001,C000229,2024-02-02 13:50:18,P025,Toothbrush,Personal Care,1,31.06
T00000002,C001117,2024-10-09 11:51:17,P019,Chocolate,Snacks,1,45.94
T00000003,C000477,2024-08-26 22:02:47,P001,Bread,Grocery,3,42.48
T00000003,C000477,2024-08-26 22:02:47,P017,Soft Drink,Beverages,1,42.07
T00000003,C000477,2024-08-26 22:02:47,P020,Namkeen,Snacks,2,36.39
T00000003,C000477,2024-08-26 22:02:47,P007,Biscuits,Grocery,3,28.67
T00000003,C000477,2024-08-26 22:02:47,P023,Soap,Personal Care,2,38.2
T00000003,C000477,2024-08-26 22:02:47,P018,Chips,Snacks,3,23.01
T00000004,C000779,2024-06-09 04:34:30,P012,Eggs,Dairy,3,66.35
T00000005,C000089,2024-06-07 01:12:48,P017,Soft Drink,Beverages,2,41.64
T00000005,C000089,2024-06-07 01:12:48,P028,Tissue Paper,Household,1,46.45
T00000005,C000089,2024-06-07 01:12:48,P018,Chips,Snacks,3,27.43
T00000005,C000089,2024-06-07 01:12:48,P003,Cooking Oil,Grocery,2,128.8
T00000005,C000089,2024-06-07 01:12:48,P015,Tea,Beverages,4,105.12
T00000005,C000089,2024-06-07 01:12:48,P013,Yogurt,Dairy,3,32.64
T00000005,C000089,2024-06-07 01:12:48,P004,Pasta,Grocery,3,51.8
T00000006,C000547,2024-11-09 09:19:03,P022,Shampoo,Personal Care,4,136.62
T00000006,C000547,2024-11-09 09:19:03,P020,Namkeen,Snacks,2,36.29
T00000006,C000547,2024-11-09 09:19:03,P006,Cereal,Grocery,1,141.87
T00000006,C000547,2024-11-09 09:19:03,P015,Tea,Beverages,1,116.71
T00000006,C000547,2024-11-09 09:19:03,P028,Tissue Paper,Household,4,42.91
T00000006,C000547,2024-11-09 09:19:03,P003,Cooking Oil,Grocery,2,129.92
T00000006,C000547,2024-11-09 09:19:03,P021,Cookies,Snacks,3,42.41
T00000007,C001023,2024-02-01 08:53:01,P029,Garbage Bags,Household,3,62.96
T00000007,C001023,2024-02-01 08:53:01,P008,Sugar,Grocery,4,48.58
T00000007,C001023,2024-02-01 08:53:01,P015,Tea,Beverages,4,106.96
T00000007,C001023,2024-02-01 08:53:01,P021,Cookies,Snacks,2,45.09
T00000007,C001023,2024-02-01 08:53:01,P005,Pasta Sauce,Grocery,1,73.58
T00000008,C000225,2024-09-11 12:56:38,P021,Cookies,Snacks,4,45.87
T00000008,C000225,2024-09-11 12:56:38,P006,Cereal,Grocery,4,146.45
T00000009,C000959,2024-03-14 12:52:23,P022,Shampoo,Personal Care,4,130.43
T00000009,C000959,2024-03-14 12:52:23,P001,Bread,Grocery,1,43.63
T00000009,C000959,2024-03-14 12:52:23,P017,Soft Drink,Beverages,3,43.78
T00000009,C000959,2024-03-14 12:52:23,P009,Milk,Dairy,2,28.04
T00000009,C000959,2024-03-14 12:52:23,P006,Cereal,Grocery,1,161.12
T00000009,C000959,2024-03-14 12:52:23,P028,Tissue Paper,Household,3,48.08
T00000009,C000959,2024-03-14 12:52:23,P018,Chips,Snacks,2,23.26
